SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612742,DAL,Dallas Mavericks,0022401132,2025-04-05,DAL @ LAC,L,239,104,34,78,0.436,7,27,0.259,29,38,0.763,10,31,41,18,5,8,15,18,-31.0
22024,1610612742,DAL,Dallas Mavericks,0022401127,2025-04-04,DAL @ LAC,L,240,91,35,77,0.455,4,20,0.2,17,26,0.654,6,33,39,19,7,0,17,14,-23.0
22024,1610612742,DAL,Dallas Mavericks,0022401109,2025-04-02,DAL vs. ATL,W,240,120,44,83,0.53,15,33,0.455,17,21,0.81,4,38,42,27,7,8,13,16,2.0
22024,1610612742,DAL,Dallas Mavericks,0022401095,2025-03-31,DAL vs. BKN,L,240,109,41,86,0.477,10,30,0.333,17,29,0.586,12,37,49,29,4,3,8,19,-4.0
22024,1610612742,DAL,Dallas Mavericks,0022401077,2025-03-29,DAL @ CHI,W,239,120,47,101,0.465,9,30,0.3,17,21,0.81,8,33,41,28,9,8,6,18,1.0
22024,1610612742,DAL,Dallas Mavericks,0022401060,2025-03-27,DAL @ ORL,W,240,101,37,78,0.474,11,22,0.5,16,22,0.727,5,35,40,21,10,1,14,17,9.0
22024,1610612742,DAL,Dallas Mavericks,0022401048,2025-03-25,DAL @ NYK,L,241,113,43,80,0.538,6,19,0.316,21,25,0.84,5,28,33,19,9,3,16,16,-15.0
22024,1610612742,DAL,Dallas Mavericks,0022401040,2025-03-24,DAL @ BKN,W,241,120,49,87,0.563,10,31,0.323,12,16,0.75,11,30,41,34,10,1,10,15,19.0
22024,1610612742,DAL,Dallas Mavericks,0022401019,2025-03-21,DAL vs. DET,W,239,123,42,80,0.525,12,34,0.353,27,36,0.75,10,34,44,25,10,7,20,16,6.0
22024,1610612742,DAL,Dallas Mavericks,0022400998,2025-03-19,DAL @ IND,L,238,131,48,88,0.545,11,27,0.407,24,32,0.75,7,34,41,23,6,0,12,26,-4.0
22024,1610612742,DAL,Dallas Mavericks,0022400976,2025-03-16,DAL vs. PHI,L,241,125,46,87,0.529,10,34,0.294,23,30,0.767,10,35,45,26,4,3,15,19,-5.0
22024,1610612742,DAL,Dallas Mavericks,0022400961,2025-03-14,DAL @ HOU,L,241,96,39,94,0.415,8,22,0.364,10,12,0.833,6,28,34,14,4,6,7,11,-37.0
22024,1610612742,DAL,Dallas Mavericks,0022400951,2025-03-12,DAL @ SAS,L,238,116,45,81,0.556,13,32,0.406,13,17,0.765,3,28,31,30,8,0,17,12,-10.0
22024,1610612742,DAL,Dallas Mavericks,0022400937,2025-03-10,DAL @ SAS,W,240,133,47,88,0.534,12,38,0.316,27,30,0.9,10,30,40,25,5,2,10,18,4.0
22024,1610612742,DAL,Dallas Mavericks,0022400921,2025-03-09,DAL vs. PHX,L,240,116,43,88,0.489,17,42,0.405,13,16,0.813,5,27,32,29,8,2,6,13,-9.0
22024,1610612742,DAL,Dallas Mavericks,0022400906,2025-03-07,DAL vs. MEM,L,240,111,37,96,0.385,15,41,0.366,22,24,0.917,11,34,45,24,7,7,12,13,-11.0
22024,1610612742,DAL,Dallas Mavericks,0022400897,2025-03-05,DAL @ MIL,L,240,107,45,98,0.459,13,39,0.333,4,10,0.4,5,25,30,30,13,3,10,13,-30.0
22024,1610612742,DAL,Dallas Mavericks,0022400880,2025-03-03,DAL vs. SAC,L,241,98,35,77,0.455,7,26,0.269,21,24,0.875,7,30,37,28,5,1,13,13,-24.0
22024,1610612742,DAL,Dallas Mavericks,0022400865,2025-03-01,DAL vs. MIL,L,240,117,43,91,0.473,11,40,0.275,20,25,0.8,8,25,33,25,7,1,11,23,-15.0
22024,1610612742,DAL,Dallas Mavericks,0022400847,2025-02-27,DAL vs. CHA,W,240,103,40,97,0.412,11,36,0.306,12,16,0.75,10,38,48,23,12,7,7,11,7.0
22024,1610612742,DAL,Dallas Mavericks,0022400835,2025-02-25,DAL @ LAL,L,240,99,35,98,0.357,17,44,0.386,12,13,0.923,14,31,45,23,7,11,12,14,-8.0
22024,1610612742,DAL,Dallas Mavericks,0022400812,2025-02-23,DAL @ GSW,L,240,102,38,82,0.463,13,32,0.406,13,19,0.684,7,34,41,24,7,4,18,22,-24.0
22024,1610612742,DAL,Dallas Mavericks,0022400803,2025-02-21,DAL vs. NOP,W,240,111,37,86,0.43,16,44,0.364,21,27,0.778,8,39,47,28,8,4,13,18,8.0
22024,1610612742,DAL,Dallas Mavericks,0022400786,2025-02-13,DAL vs. MIA,W,242,118,46,90,0.511,13,36,0.361,13,16,0.813,11,29,40,28,7,2,13,17,5.0
22024,1610612742,DAL,Dallas Mavericks,0022400782,2025-02-12,DAL vs. GSW,W,240,111,42,87,0.483,15,36,0.417,12,15,0.8,9,30,39,20,9,7,14,16,4.0
22024,1610612742,DAL,Dallas Mavericks,0022400762,2025-02-10,DAL vs. SAC,L,265,128,49,95,0.516,15,37,0.405,15,24,0.625,5,28,33,31,11,4,11,19,-1.0
22024,1610612742,DAL,Dallas Mavericks,0022400741,2025-02-08,DAL vs. HOU,W,242,116,39,83,0.47,12,23,0.522,26,34,0.765,12,31,43,22,4,18,5,18,11.0
22024,1610612742,DAL,Dallas Mavericks,0022400728,2025-02-06,DAL @ BOS,W,242,127,49,88,0.557,15,33,0.455,14,18,0.778,8,27,35,32,9,4,8,15,7.0
22024,1610612742,DAL,Dallas Mavericks,0022400712,2025-02-04,DAL @ PHI,L,242,116,40,85,0.471,11,33,0.333,25,31,0.806,15,29,44,24,8,4,12,19,-2.0
22024,1610612742,DAL,Dallas Mavericks,0022400696,2025-02-02,DAL @ CLE,L,241,101,40,103,0.388,9,43,0.209,12,15,0.8,10,35,45,22,6,3,9,11,-43.0
22024,1610612742,DAL,Dallas Mavericks,0022400680,2025-01-31,DAL @ DET,L,240,102,37,87,0.425,11,33,0.333,17,21,0.81,16,30,46,20,4,13,16,14,-15.0
22024,1610612742,DAL,Dallas Mavericks,0022400670,2025-01-29,DAL @ NOP,W,239,137,52,96,0.542,20,43,0.465,13,17,0.765,16,35,51,30,6,6,18,17,1.0
22024,1610612742,DAL,Dallas Mavericks,0022400657,2025-01-27,DAL vs. WAS,W,241,130,49,92,0.533,20,45,0.444,12,17,0.706,13,38,51,39,5,7,11,20,22.0
